subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification
http://www.w3.org/ns/prov#Bundle,Bundle,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Bundle,Bundle,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.commoncoreontologies.org/ont00000958,Information Content Entity,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Dictionary,Dictionary,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Dictionary,Dictionary,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.commoncoreontologies.org/ont00000958,Information Content Entity,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#DictionaryInvolvement,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000003,occurrent,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#End,End,http://www.w3.org/2002/07/owl#equivalentClass,https://www.commoncoreontologies.org/ont00000083,Process Ending,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#KeyEntityPair,Key-Entity Pair,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#KeyEntityPair,Key-Entity Pair,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.commoncoreontologies.org/ont00000958,Information Content Entity,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Plan,Plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Plan,Plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.commoncoreontologies.org/ont00000958,Information Content Entity,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Role,Role,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000023,role,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#Start,Start,http://www.w3.org/2002/07/owl#equivalentClass,https://www.commoncoreontologies.org/ont00000197,Process Beginning,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#activity,activity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#agent,agent,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.commoncoreontologies.org/ont00001833,has agent,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#alternateOf,alternateOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002559,causally influenced by,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#asInBundle,asInBundle,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.commoncoreontologies.org/ont00001801,is subject of,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#generated,generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/BFO_0000057,has participant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#generated,generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#generated,generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#generated,generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://www.commoncoreontologies.org/ont00001986,has output,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#hadActivity,hadActivity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,https://w3id.org/semapv/vocab/ManualMappingCuration
http://www.w3.org/ns/prov#hadDictionaryMember,hadDictionaryMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/BFO_0000178,has continuant part,https://w3id.org/semapv/vocab/ManualMappingCuration
